GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven :: Build Time Profiler,com.soebes.maven.extensions.metadata,MetadataDeploymentTimer,56,0,4,0,14,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions.metadata,AbstractMetadataTimer,0,113,0,4,0,21,0,7,0,5
Maven :: Build Time Profiler,com.soebes.maven.extensions.metadata,MetadataInstallTimer,56,0,4,0,14,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions.metadata,MetadataDownloadTimer,56,0,4,0,14,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,TimePlusSize,0,10,0,0,0,5,0,3,0,3
Maven :: Build Time Profiler,com.soebes.maven.extensions,MojoKey,171,0,30,0,44,0,25,0,10,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,MojoTimer,274,0,26,0,43,0,24,0,11,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,BuildTimeProfiler.new Object() {...},261,0,0,0,2,0,1,0,1,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,ProjectMojo,181,0,22,0,36,0,19,0,8,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,GoalTimer,140,0,6,0,19,0,10,0,7,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,GoalKey,56,66,11,11,14,16,13,4,4,2
Maven :: Build Time Profiler,com.soebes.maven.extensions,LifeCycleOrdering,3,50,0,2,1,14,1,5,1,4
Maven :: Build Time Profiler,com.soebes.maven.extensions,BuildTimeProfilerVersion,13,0,0,0,7,0,6,0,6,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,BuildTimeProfiler,701,0,62,0,177,0,54,0,12,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,SystemTime,0,19,0,0,0,7,0,4,0,4
Maven :: Build Time Profiler,com.soebes.maven.extensions,LifeCycleOrdering.new Comparator() {...},0,18,0,0,0,2,0,2,0,2
Maven :: Build Time Profiler,com.soebes.maven.extensions,ForkTimer,34,0,0,0,10,0,4,0,4,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,ProjectGoal,50,83,0,22,7,23,4,13,4,2
Maven :: Build Time Profiler,com.soebes.maven.extensions,SessionTimer,32,0,0,0,10,0,4,0,4,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,ProjectTimer,25,93,2,4,4,17,2,7,1,5
Maven :: Build Time Profiler,com.soebes.maven.extensions,DiscoveryTimer,43,0,0,0,11,0,4,0,4,0
Maven :: Build Time Profiler,com.soebes.maven.extensions,ProjectKey,66,85,15,15,18,20,17,5,5,2
Maven :: Build Time Profiler,com.soebes.maven.extensions.artifact,DownloadTimer,113,0,4,0,16,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions.artifact,InstallTimer,100,0,4,0,17,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions.artifact,DeployTimer,100,0,4,0,17,0,4,0,2,0
Maven :: Build Time Profiler,com.soebes.maven.extensions.artifact,AbstractArtifactTimer,12,128,0,6,2,26,1,8,1,5
